NaN,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
3.5,2,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.5,3.6,3.6,3.7,3.8,4,4.1,4.3,4.4,4.5,4.7,4.9,5.2,5.4,5.5,5.7,5.9,6.1,6.3,6.5,6.7,6.8,7,7.1,7.3,7.6,7.8,8,8.3,8.5,8.6
3.4,2,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.7,2.8,2.9,3,3,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.6,4.7,4.9,5,5.3,5.5,5.7,5.9,6,6.2,6.4,6.6,6.7,6.9,7.1,7.2,7.3,7.5,7.7,8,8.2,8.4,8.6
3.29,2,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3,3,3.1,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4,4.2,4.3,4.5,4.6,4.7,4.9,5.1,5.3,5.5,5.7,5.8,6,6.1,6.4,6.6,6.7,6.9,7,7.1,7.3,7.5,7.8,8,8.2,8.4
3.19,2,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.6,3.7,3.8,3.9,4,4.2,4.3,4.5,4.6,4.7,4.9,5.1,5.3,5.5,5.7,5.9,6,6.2,6.3,6.5,6.8,6.9,7.1,7.2,7.4,7.6,7.8,8,8.2,8.4
3.08,2,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.9,3,3.1,3.1,3.2,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.5,4.7,4.8,5,5.2,5.3,5.6,5.8,6,6.1,6.2,6.4,6.6,6.8,6.9,7.1,7.3,7.5,7.7,7.8,8,8.2
2.98,1.9,2,2,2.1,2.2,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.8,2.9,3,3,3.1,3.1,3.2,3.3,3.3,3.3,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,4.1,4.2,4.4,4.5,4.7,4.8,5,5.1,5.3,5.4,5.6,5.8,6.1,6.2,6.4,6.5,6.7,6.8,6.9,7.1,7.3,7.5,7.7,7.9,8,8.2
2.88,2,2,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.9,3,3,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.8,3.9,4,4.1,4.3,4.4,4.6,4.7,4.9,5,5.2,5.4,5.5,5.7,5.8,6,6.2,6.5,6.6,6.8,6.9,7,7.2,7.4,7.6,7.8,7.9,8.1,8.3
2.77,2,2,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.8,2.9,2.9,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,4,4.1,4.3,4.5,4.6,4.8,4.9,5.1,5.2,5.4,5.5,5.6,5.8,6,6.2,6.4,6.6,6.7,6.8,7,7.2,7.4,7.6,7.8,8,8.1
2.67,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.7,2.8,2.9,3,3,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.8,3.9,4,4,4.2,4.3,4.4,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.7,5.8,6,6.1,6.3,6.5,6.6,6.8,6.9,7.1,7.2,7.4,7.6,7.8,8,8.1
